plant_uid,scenario,single_frame_rmse_cm,post_hoc_rmse_cm,prior_in_detection_rmse_cm,post_hoc_coverage_95,prior_in_detection_coverage_95,prior_in_detection_truth_closest_rate
localization_error_059,localization_error,20.40571919571928,19.082066338993535,9.459489823482162,0.75,0.8333333333333334,0.9166666666666666
missing_images_000,missing_images,2.5596886578762974,2.4108130877698293,11.065958931522136,1.0,0.8888888888888888,0.8888888888888888
missing_images_001,missing_images,3.4519307486171282,2.958237707452844,3.101435191489999,1.0,1.0,1.0
missing_images_002,missing_images,2.8511822728255822,3.4721659399408495,3.723661928623373,1.0,1.0,1.0
missing_images_003,missing_images,2.9553252151616554,2.8846167423678084,2.84058902183252,1.0,1.0,1.0
missing_images_004,missing_images,1.863965814705835,2.3296257938732974,16.194652820297783,1.0,0.8888888888888888,0.8888888888888888
missing_images_005,missing_images,22.85665558833476,16.08584527076643,17.34605911229132,1.0,0.8888888888888888,0.8888888888888888
missing_images_006,missing_images,13.073809566806123,13.304767249943005,1.3847186599197532,0.8888888888888888,1.0,1.0
missing_images_007,missing_images,3.3514977630557317,2.937921465862049,2.859642897117097,0.8888888888888888,0.8888888888888888,1.0
missing_images_008,missing_images,2.943326387036176,3.533600443018658,3.0333046785412985,1.0,1.0,1.0
missing_images_009,missing_images,21.93270134773866,22.15397764358756,22.083804813600207,0.7777777777777778,0.7777777777777778,0.7777777777777778
missing_images_010,missing_images,23.200923481459782,18.063487788913672,13.571369859632465,0.8888888888888888,0.8888888888888888,0.8888888888888888
missing_images_011,missing_images,3.6585949514776543,3.8999095348209996,17.41997201635535,1.0,0.7777777777777778,0.8888888888888888
missing_images_012,missing_images,3.1701243067910996,2.4705787803048693,2.4357673759674983,1.0,1.0,1.0
missing_images_013,missing_images,2.129976087688526,2.806937570905563,2.6813314401062636,1.0,1.0,1.0
missing_images_014,missing_images,2.978243245959791,2.910410217455002,2.909571275889916,1.0,1.0,1.0
missing_images_015,missing_images,13.259347812859618,13.658427714733646,3.029618403242218,0.7777777777777778,0.8888888888888888,1.0
missing_images_016,missing_images,3.4968926628674453,3.786678050752966,10.108229677535196,1.0,0.8888888888888888,0.8888888888888888
missing_images_017,missing_images,3.3272231127028458,2.6789341894049947,2.745723858195945,1.0,1.0,1.0
missing_images_018,missing_images,3.0816683915643273,3.618841209451576,3.706204413666225,1.0,1.0,1.0
missing_images_019,missing_images,3.65580715008092,3.4826238305975936,3.482151034814673,0.8888888888888888,1.0,1.0
missing_images_020,missing_images,17.848564966473585,17.889086682015346,3.5989338801356845,0.8888888888888888,1.0,1.0
missing_images_021,missing_images,2.6133133668531796,2.6531124275908162,2.494068557972186,1.0,1.0,1.0
missing_images_022,missing_images,27.42944931894476,25.80623914490089,23.494822250000773,0.7777777777777778,0.7777777777777778,0.7777777777777778
missing_images_023,missing_images,19.60123002117674,10.103155783548363,3.8045248010816204,0.8888888888888888,0.8888888888888888,1.0
